문서제목	프로그램 명세서
시스템명	EBS 시뮬레이션 프로그램
패키지(확장)	morph.tbs_control_2
작성 기준	source/extensions/morph.tbs_control_2/morph/tbs_control_2/
관련 웹 연동	morph.hyview_messaging (ebs_handler.py, tbs_sim_bridge.py), HTTP Remote UI (kit_web_api_registry.py)
정리 방식	메소드 1행 · 9열 (업무분류~출력데이터) · 탭 구분 엑셀 붙여넣기
DB/저장	RDB 미사용. 프리런·설정은 data/sim_prerun/*.json, data/sim_sequences/*.json, config/*.json 파일. API는 Federation/HTTP REST·HyView T2V/V2T.

업무분류	패키지	class id	class 명	메소드 id	메소드명	입력 데이터	메소드 설명 및 로직	출력데이터
확장 진입	morph.tbs_control_2.extension	Extension	TBS Control 확장 진입점	on_startup	확장 시작 처리	ext_id: str	[기본] Kit 확장 로드 시 싱글톤 등록 → 메인 스레드 디스패치 초기화 → USD Load 창·제어창·시퀀스 편집기 생성 → 듀얼 뷰포트 레이아웃(옵션) → HyView 스트리밍 설정 → 선택/오버레이 구독 시작. [분기] 듀얼 뷰포트 옵션 ON/OFF. [예외] 단계별 실패 시 로그 후 해당 단계만 스킵. [DB] 미사용.	없음
확장 진입	morph.tbs_control_2.extension	Extension	TBS Control 확장 진입점	on_shutdown	확장 종료 처리	없음	[기본] 시뮬 정지 → 애니메이션·타임라인 정지 → 뷰포트/구독 해제 → 싱글톤 해제. [DB] 미사용.	없음
Master USD 관리	morph.tbs_control_2.tbs_usd_window	TbsUsdWindow	TBS Master USD 로드 창	__init__	USD 로드 창 초기화	ext: Any	[기본] omni.ui.Window 생성, 리소스 목록·로드 버튼·상태 라벨 바인딩. [DB] 미사용.	없음
Master USD 관리	morph.tbs_control_2.tbs_usd_window	TbsUsdWindow	TBS Master USD 로드 창	run_master_autoload_now	Master USD 자동 로드	없음	[기본] sim_control_defaults에 정의된 Master USD 경로를 화면1 컨텍스트에 로드. 듀얼 레이아웃 선적용 후 호출. [DB] 미사용(USD 파일 오픈).	없음
Master USD 관리	morph.tbs_control_2.tbs_usd_window	TbsUsdWindow	TBS Master USD 로드 창	_on_load_clicked	USD 수동 로드	선택 파일 경로	[기본] 사용자가 선택한 USD를 Master Stage에 오픈 → EP/포트 visibility 초기화 트리거. [DB] 미사용.	없음
EBS 시뮬 제어	morph.tbs_control_2.control_window	control_window	EBS 시뮬레이션 제어창	build_control_window	제어창 UI 조립	ext: Any	[기본] 타임라인·XML·시뮬 버튼·포트 패널·EBS 토글·듀얼 화면 제어 UI 생성 후 Extension에 참조 저장. [DB] 미사용.	없음
EBS 시뮬 제어	morph.tbs_control_2.control_window	control_window	EBS 시뮬레이션 제어창	on_sim_start_clicked	시뮬레이션 시작	ext: Any	[기본] UI 설정 스냅샷 수집 → 프리런(스케줄 빌드) → 화면별 재생 worker 기동. [분기] 화면1/2 단독(on_sim_start_for_screen) 또는 동시 재생(control_sim_multi_playback). EBS on/off·EP 개수·배속 반영. [예외] registry/scheduler 미준비 시 로그 후 중단. [DB] 미사용(프리런 JSON 파일 가능).	없음
EBS 시뮬 제어	morph.tbs_control_2.control_window	control_window	EBS 시뮬레이션 제어창	on_sim_stop_clicked	시뮬레이션 정지	ext: Any, freeze_ep_timeline: bool	[기본] 재생 worker 중지 요청. [분기] 타임라인 동결(옵션), 포트/바 그래프 상태 유지 또는 초기화. [DB] 미사용.	없음
EBS 시뮬 제어	morph.tbs_control_2.control_window	control_window	EBS 시뮬레이션 제어창	on_sim_reset_clicked	시뮬레이션 초기화	ext: Any	[기본] 정지 후 stage/포트/타임라인/바 그래프를 초기 상태로 복원. [DB] 미사용.	없음
EBS 시뮬 제어	morph.tbs_control_2.control_window	control_window	EBS 시뮬레이션 제어창	on_sim_start_for_screen	화면별 시뮬 시작	ext: Any, screen: int	[기본] 지정 화면(1=CASE A, 2=CASE B)만 프리런·재생. USD context·registry 분리. [DB] 미사용.	없음
