eqp_id,module_nm,lot_id,cassette_slot,eqp_start_tm,eqp_end_tm,process_tm,eqp_start_iso,eqp_end_iso
4EKFA417,AtmArm-EndEfferctor11,TASJR91,17,0.000000,14.847000,14.820000,2026-04-13 05:53:49.140000,2026-04-13 05:54:03.987000
4EKFA417,AirLock1-iSlot1,TASJR91,17,14.847000,42.560000,27.720000,2026-04-13 05:54:03.987000,2026-04-13 05:54:31.700000
4EKFA417,TransferChamber-EndEffector2,TASJR91,17,42.560000,57.510000,14.950020,2026-04-13 05:54:31.700000,2026-04-13 05:54:46.650000
4EKFA417,PM2-PML1,TASJR91,17,57.510000,238.430000,180.919980,2026-04-13 05:54:46.650000,2026-04-13 05:57:47.570000
4EKFA417,TransferChamber-EndEffector2,TASJR91,17,238.430000,245.200000,6.769980,2026-04-13 05:57:47.570000,2026-04-13 05:57:54.340000
4EKFA417,PM5-PML1,TASJR91,17,245.200000,302.590000,57.390000,2026-04-13 05:57:54.340000,2026-04-13 05:58:51.730000
4EKFA417,TransferChamber-EndEffector2,TASJR91,17,302.590000,306.930000,4.339980,2026-04-13 05:58:51.730000,2026-04-13 05:58:56.070000
4EKFA417,AirLock2-oSlot1,TASJR91,17,306.930000,327.890000,2.095998,2026-04-13 05:58:56.070000,2026-04-13 05:59:17.030000
4EKFA417,AtmArm-EndEffector11,TASJR91,17,327.890000,332.842000,4.950000,2026-04-13 05:59:17.030000,2026-04-13 05:59:21.982000
4EKFA417,CoolStationAL1PM7,TASJR91,17,332.842000,576.855000,244.009980,2026-04-13 05:59:21.982000,2026-04-13 06:03:25.995000
4EKFA417,AtmArm-EndEffector11,TASJR91,17,576.855000,580.420000,3.570000,2026-04-13 06:03:25.995000,2026-04-13 06:03:29.560000
4EKFA417,CoolStationAL3PML17,TASJR91,17,580.420000,943.960000,363.540000,2026-04-13 06:03:29.560000,2026-04-13 06:09:33.100000
4EKFA417,AtmArm-EndEfferctor11,TASJR91,17,943.960000,946.530000,2.569980,2026-04-13 06:09:33.100000,2026-04-13 06:09:35.670000
4EKFA417,AtmArm-EndEfferctor11,TASJR91,9,731.970000,746.220000,14.250000,2026-04-13 06:06:01.110000,2026-04-13 06:06:15.360000
4EKFA417,AirLock1-iSlot1,TASJR91,9,746.220000,808.920000,62.700000,2026-04-13 06:06:15.360000,2026-04-13 06:07:18.060000
4EKFA417,TransferChamber-EndEffector2,TASJR91,9,808.920000,857.260000,48.360000,2026-04-13 06:07:18.060000,2026-04-13 06:08:06.400000
4EKFA417,PM3PML1,TASJR91,9,857.260000,1036.460000,179.149980,2026-04-13 06:08:06.400000,2026-04-13 06:11:05.600000
4EKFA417,TransferChamber-EndEffector2,TASJR91,9,1036.460000,1042.460000,6.000000,2026-04-13 06:11:05.600000,2026-04-13 06:11:11.600000
4EKFA417,PM5-PML1,TASJR91,9,1042.460000,1100.860000,58.390020,2026-04-13 06:11:11.600000,2026-04-13 06:12:10.000000
4EKFA417,TransferChamber-EndEffector2,TASJR91,9,1100.860000,1103.860000,3.000000,2026-04-13 06:12:10.000000,2026-04-13 06:12:13.000000
4EKFA417,AirLock2-oSlot1,TASJR91,9,1103.860000,1126.260000,22.429980,2026-04-13 06:12:13.000000,2026-04-13 06:12:35.400000
4EKFA417,AtmArm-EndEffector11,TASJR91,9,1126.260000,1130.560000,4.260000,2026-04-13 06:12:35.400000,2026-04-13 06:12:39.700000
4EKFA417,CoolStationAL1PML5,TASJR91,9,1130.560000,1380.560000,250.069980,2026-04-13 06:12:39.700000,2026-04-13 06:16:49.700000
4EKFA417,AtmArm-EndEffector11,TASJR91,9,1380.560000,1385.260000,4.699980,2026-04-13 06:16:49.700000,2026-04-13 06:16:54.400000
4EKFA417,CoolStationAL4PML9,TASJR91,9,1385.260000,1768.060000,382.780020,2026-04-13 06:16:54.400000,2026-04-13 06:23:17.200000
4EKFA417,AtmArm-EndEffector11,TASJR91,9,1768.060000,1773.660000,5.530020,2026-04-13 06:23:17.200000,2026-04-13 06:23:22.800000
4EKFA417,AtmArm-EndEfferctor11,TASJR91,17,1833.660000,1848.507000,14.820000,2026-04-13 06:24:22.800000,2026-04-13 06:24:37.647000
4EKFA417,AirLock1-iSlot1,TASJR91,17,1848.507000,1876.220000,27.720000,2026-04-13 06:24:37.647000,2026-04-13 06:25:05.360000
4EKFA417,TransferChamber-EndEffector2,TASJR91,17,1876.220000,1891.170000,14.950020,2026-04-13 06:25:05.360000,2026-04-13 06:25:20.310000
4EKFA417,PM2-PML1,TASJR91,17,1891.170000,2072.090000,180.919980,2026-04-13 06:25:20.310000,2026-04-13 06:28:21.230000
4EKFA417,TransferChamber-EndEffector2,TASJR91,17,2072.090000,2078.860000,6.769980,2026-04-13 06:28:21.230000,2026-04-13 06:28:28.000000
4EKFA417,PM5-PML1,TASJR91,17,2078.860000,2136.250000,57.390000,2026-04-13 06:28:28.000000,2026-04-13 06:29:25.390000
4EKFA417,TransferChamber-EndEffector2,TASJR91,17,2136.250000,2140.590000,4.339980,2026-04-13 06:29:25.390000,2026-04-13 06:29:29.730000
4EKFA417,AirLock2-oSlot1,TASJR91,17,2140.590000,2161.550000,2.095998,2026-04-13 06:29:29.730000,2026-04-13 06:29:50.690000
